Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
A & A NEWSAGENT |2 HIGH STREET ,  FK10 1JE|FK10 1JE|Clackmannanshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Hasan stores limited |Active
A & A newsagents|2 high street,  FK10 1JE|FK10 1JE|Clackmannanshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|hasan stores ltd|Active
A & C MacLean|The Square, Castlebay HS9 5XD|HS9 5XD|Comhairle nan Eilean Siar|Other Retail|Tobacco Only|A & C MacLean|Active
A & C ROSS|CENTRAL GARAGE, 64 MAIN STREET ML11 8AA|ML11 8AA|South Lanarkshire|Forecourt Garage|Tobacco Only|A & C ROSS|Active
A & C SMART|314 KING STREET,  AB24 5BJ|AB24 5BJ|Aberdeen City|Convenience Store|Tobacco Only|A & C Smart Ltd|Inactive
A & K Ices|324 High Street,  KY6 3AT|KY6 3AT|Fife|Mobile Trade|Tobacco Only|A & K Ices|Active
A & M convenience store|2160-2162 dumbarton road,  G14 0JJ|G14 0JJ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|A & M convenience store|Active
A & m convenience store |Day Today, 2160-2162 Dumbarton Road G14 0JJ|G14 0JJ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|A & m convenience store |Active
A & M Edgars|23 Buccleuch st,  DG1 2AT|DG1 2AT|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco Only|A & M Edgars|Active
A & m TRENCH & SON|38-42 HAMILTON CRESCENT, NEWTONGRANGE EH22 4BU|EH22 4BU|Midlothian|Convenience Store|Tobacco Only|A & M TRENCH & SON|Inactive
A & P Savile Store|86/88 Mayfield Road,  EH9 3AF|EH9 3AF|Edinburgh City|Convenience Store|Tobacco Only|A & P Savile Store|Inactive
A & R Stores|102 Motherwell St,  ML6 7EJ|ML6 7EJ|North Lanarkshire|Off-Licence|Tobacco Only|A & R Stores|Inactive
A & S Convenience Store|Craighill View,  EH48 3SY|EH48 3SY|West Lothian|Convenience Store|Tobacco Only|A & S Convenience Store|Active
A & Z Stores|18 West Boreland Road, Denny FK6 6NY|FK6 6NY|Falkirk|Convenience Store|Tobacco Only|A & Z Stores|Inactive
A & Z Stores|A & Z Stores, 18 West Boreland Road FK6 6NY|FK6 6NY|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|A & Z Stores |Active
A A Newsagents|106 Glasgow Road,  FK6 5DN|FK6 5DN|Falkirk|Convenience Store|Tobacco Only|A A Newsagents|Active
A AND R GROCERS|84 BRIDGEND ROAD,  PA15 2JJ|PA15 2JJ|Inverclyde|Confectionary / Tobacconist / Newsagents|Tobacco Only|a and r grocers|Inactive
A and R McCulloch|118 Hillside Drive,  DG9 7PW|DG9 7PW|Dumfries and Galloway|Convenience Store|Tobacco Only|A and R McCulloch|Active
A C Currie t/a Keystore|55 Central Avenue,  KA10 7AZ|KA10 7AZ|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|A C Currie Ltd t/a Keystore|Active
A D MUNRO|MAIN STREET, EAST TARBERT HS3 3AL|HS3 3AL|Comhairle nan Eilean Siar|Convenience Store|Tobacco Only|A D MUNRO HARRIS LTD|Inactive
A F & J Barrett|265 - 267 Byres Road,  G12 8TL|G12 8TL|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|A F & J Barrett|Active
A F K CATERING LTD|158 ST LEONARDS STREET,  ML11 7DX|ML11 7DX|South Lanarkshire|Mobile Trade|Tobacco Only|A F K CATERING LTD|Active
A F Yule|11 Queen Street,  AB42 3DS|AB42 3DS|Aberdeenshire|Specialist Tobacconists|Tobacco And Nicotine Vapour Products|A F Yule|Active
A G DUNLOP NEWSAGENTS|11 DALRYMPLE STREET,  KA26 9EU|KA26 9EU|South Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A G DUNLOP NEWSAGENTS|Active
A Humphray|East Isle, Skerries ZE2 9AR|ZE2 9AR|Shetland Islands|Confectionary / Tobacconist / Newsagents|Tobacco Only|A Humphray|Active
a johnston and sons|A Johnston & Sons, 97 Camperdown Road DD3 8RF|DD3 8RF|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|DAVID WALDIES LTD|Active
A JOHNSTON AND SONS (DAVID WALDIE LTD)|97 CAMPERDOWN ROAD,  DD3 8RF|DD3 8RF|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|DAVID WALDIE LTD|Active
